layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,a_max,c_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,Extra_charge,sn,sp,Red,Green,Blue,vsr_zone_loc,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-0.89,,,,,,,,,,,,,,,,,,70,1.00E+05,,,,,Beer-Lambert,erf-linear,right,0.00E+00
active,Si,1.80E-02,3600,0.7,0,-1.12,-0.89,-0.55,2.80E+19,2.65E+19,0.00E+00,0.00E+00,1.00E+00,1.00E+00,1.33E+03,458.7,0.00E+00,0.00E+00,1.19E+01,0.00E+00,4.49E-15,1.00E+05,1.00E+05,0.00E+00,,,1,0.87,0.87,,,,,
interface,Interface 1,1.00E-07,100,0.7,0,-1.12,-0.89,-0.55,2.80E+19,2.65E+19,0.00E+00,0.00E+00,1.00E+00,1.00E+00,1.33E+03,458.7,0.00E+00,0.00E+00,1.19E+01,0.00E+00,4.49E-15,1.00E+05,1.00E+05,0.00E+00,0.00E+00,0.00E+00,0.9,0.9,0.9,auto,,,,
active,Si,3.00E-05,600,0.7,0,-1.12,-0.026,-0.55,2.80E+19,2.65E+19,0.00E+00,0.00E+00,1.00E+00,1.00E+00,120,160,0.00E+00,0.00E+00,1.19E+01,0.00E+00,8.51E-16,1.00E+05,1.00E+05,0.00E+00,,,0.85,0.92,1,,,,,
interface,Interface 2,1.00E-07,100,0.5,0,-1.12,-0.026,-0.55,2.80E+19,2.65E+19,0.00E+00,0.00E+00,1.00E+00,1.00E+00,120,160,0.00E+00,0.00E+00,1.60E+00,0.00E+00,8.51E-16,1.00E+05,1.00E+05,0.00E+00,1.00E+05,4.35E+03,0.9,0.9,0.9,auto,,,,
active,Si,1.50E-07,300,0.5,0,-1.12,-0.026,-0.55,2.80E+19,2.65E+19,0.00E+00,0.00E+00,1.00E+00,1.00E+00,120,160,0.00E+00,0.00E+00,1.60E+00,0.00E+00,8.51E-16,1.00E+05,1.00E+05,0.00E+00,,,0.85,1,0.75,,,,,
electrode,,,,,,,-0.026,,,,,,,,,,,,,,,,,,1.00E+05,4.35E+03,,,,,,,,
