layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,a_max,c_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,Red,Green,Blue,vsr_zone_loc,optical_model,xmesh_type,side,N_ionic_species,extra_holes,extra_electrons
electrode,,,,,,,-0.89,,,,,,,,,,,,,,,,,1.00E+02,1.00E+03,,,,,Beer-Lambert,erf-linear,right,0.00E+00,0.00E+00,0
active,Si,1.80E-02,4000,0.7,0,-1.12,-0.89,-0.8,2.80E+19,2.65E+19,0.00E+00,0.00E+00,1.00E+22,1.00E+22,1.33E+03,458.7,0.00E+00,0.00E+00,1.17E+01,1.00E+20,3.18E-11,2.00E-07,2.00E-07,,,1,0.87,0.87,,,,,,,
interface,Interface 1,1.00E-06,60,0.7,0,-1.12,-0.5,-0.8,2.80E+19,2.65E+19,0.00E+00,0.00E+00,1.00E+22,1.00E+22,1.33E+03,458.7,0.00E+00,0.00E+00,1.17E+01,0.00E+00,0.00E+00,1.00E-11,1.00E-11,1.00E+04,1.00E+05,1,0.9,0.7,auto,,,,,,
active,Si,3.00E-05,600,0.7,0,-1.12,-0.026,-0.8,2.80E+19,2.65E+19,0.00E+00,0.00E+00,1.00E+22,1.00E+22,73.4,155.6,0.00E+00,0.00E+00,1.17E+01,1.00E+20,3.18E-11,2.00E-07,2.00E-07,,,0.85,0.92,1,,,,,,,
electrode,,,,,,,-0.026,,,,,,,,,,,,,,,,,1.00E+04,1.00E+05,,,,,,,,,,
