layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,Red,Green,Blue,vsr_zone_loc,optical_model,xmesh_type,side,N_ionic_species,extra_holes,extra_electrons
electrode,,,,,,,-0.95,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,Beer-Lambert,erf-linear,left,0.00E+00,0.00E+00,0
active,aSi,2.00E-05,500,0.7,0,-1.1,-0.95,-0.8,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,900,300,0.00E+00,0.00E+00,4.00E+00,1.00E+22,3.18E-11,2.00E-07,2.00E-07,,,1,0.87,0.87,,,,,,,
interface,Interface 1,1.00E-07,60,0.7,0,-1.1,-0.1,-0.8,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E+05,3.00E+02,0.00E+00,0.00E+00,4.00E+00,0.00E+00,0.00E+00,,,1.00E+01,1.00E+07,1,0.9,0.7,auto,,,,,,
active,aSi,2.00E-05,500,0.7,0,-1.1,-0.1,-0.8,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,900,300,0.00E+00,0.00E+00,4.00E+00,1.00E+22,3.18E-11,2.00E-07,2.00E-07,,,0.85,0.92,1,,,,,,,
electrode,,,,,,,-0.1,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,,,,,,
