layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,a_max,c_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,Red,Green,Blue,vsr_zone_loc,optical_model,xmesh_type,side,N_ionic_species,extra_holes,extra_electrons
electrode,,,,,,,-0.95,,,,,,,,,,,,,,,,,1.00E+04,1.00E+05,,,,,Beer-Lambert,erf-linear,right,0.00E+00,0.00E+00,0
active,Si,5.25E-02,4000,0.7,0,-1.1,-0.95,-0.8,3.00E+19,1.00E+19,0.00E+00,0.00E+00,1.00E+22,1.00E+22,1.00E+03,1000,0.00E+00,0.00E+00,4.00E+00,1.00E+20,3.18E-11,2.00E-07,2.00E-07,,,1,0.87,0.87,,,,,,,
interface,Interface 1,1.00E-06,60,0.7,0,-1.1,-0.5,-0.8,3.00E+19,1.00E+19,0.00E+00,0.00E+00,1.00E+22,1.00E+22,1.00E+03,5.00E+02,0.00E+00,0.00E+00,4.00E+00,0.00E+00,0.00E+00,1.00E-11,1.00E-11,1.00E+04,1.00E+05,1,0.9,0.7,auto,,,,,,
active,Si,3.00E-05,600,0.7,0,-1.1,-0.1,-0.8,3.00E+19,1.00E+19,0.00E+00,0.00E+00,1.00E+22,1.00E+22,100,100,0.00E+00,0.00E+00,4.00E+00,1.00E+20,3.18E-11,2.00E-07,2.00E-07,,,0.85,0.92,1,,,,,,,
electrode,,,,,,,-0.1,,,,,,,,,,,,,,,,,1.00E+04,1.00E+05,,,,,,,,,,
